route_id,route_name,Description,route_type
Mattapan,Mattapan Trolley,Rapid Transit,0
Green-B,Green Line B,Rapid Transit,0
Green-C,Green Line C,Rapid Transit,0
Green-D,Green Line D,Rapid Transit,0
Green-E,Green Line E,Rapid Transit,0
Red,Red Line,Rapid Transit,1
Orange,Orange Line,Rapid Transit,1
Blue,Blue Line,Rapid Transit,1
CR-Fairmount,Fairmount Line,Commuter Rail,2
CR-Fitchburg,Fitchburg Line,Commuter Rail,2
CR-Worcester,Framingham/Worcester Line,Commuter Rail,2
CR-Franklin,Franklin/Foxboro Line,Commuter Rail,2
CR-Greenbush,Greenbush Line,Commuter Rail,2
CR-Haverhill,Haverhill Line,Commuter Rail,2
CR-Kingston,Kingston Line,Commuter Rail,2
CR-Lowell,Lowell Line,Commuter Rail,2
CR-Middleborough,Middleborough/Lakeville Line,Commuter Rail,2
CR-Needham,Needham Line,Commuter Rail,2
CR-Newburyport,Newburyport/Rockport Line,Commuter Rail,2
CR-Providence,Providence/Stoughton Line,Commuter Rail,2
CR-Foxboro,Foxboro Event Service,Commuter Rail,2
741,Logan Airport Terminals - South Station,Key Bus,3
742,Drydock Avenue - South Station,Key Bus,3
743,Chelsea Station - South Station,Key Bus,3
751,Nubian Station - South Station,Key Bus,3
749,Nubian Station - Temple Place,Key Bus,3
746,Silver Line Way - South Station,Key Bus,3
747,Sullivan Square Station - Ruggles Station,Local Bus,3
708,Beth Israel Deaconess Hospital - Andrew Station,Local Bus,3
1,Harvard Square - Nubian Station,Key Bus,3
4,North Station - Tide Street,Commuter Bus,3
7,City Point - Otis Street & Summer Street,Local Bus,3
8,Harbor Point - Kenmore Station,Local Bus,3
9,City Point - Copley Station,Local Bus,3
10,City Point - Copley Square,Local Bus,3
11,City Point - Chauncy Street & Summer Street,Local Bus,3
14,Roslindale Square - Heath Street,Local Bus,3
15,Fields Corner Station or Kane Square - Ruggles Station,Key Bus,3
16,Forest Hills Station - Andrew Station or Harbor Point,Local Bus,3
17,Fields Corner Station - Andrew Station,Local Bus,3
18,Ashmont Station - Andrew Station,Local Bus,3
19,Fields Corner Station - Kenmore or Ruggles Station,Local Bus,3
21,Ashmont Station - Forest Hills Station,Local Bus,3
22,Ashmont Station - Ruggles Station via Talbot Ave,Key Bus,3
23,Ashmont Station - Ruggles Station via Washington Street,Key Bus,3
24,Wakefield Avenue & Truman Parkway - Ashmont Station,Local Bus,3
26,Ashmont Station - Norfolk Street Loop,Local Bus,3
