shape_id,polyline,route_id,route_type,route_color
899_0008,_k~`G|c|pL??YeDCWCIKSKWEm@E{@Cw@C{A?w@Bm@Du@^_DPmADU??Fi@L{@LoABs@@k@?s@Ai@E{@MiAQkAUuAmBcMMu@??AG[mBg@cD_@_C[wBy@kFQkA_@{BWeBKy@Iq@MaBQ}CO{CG{@???CCSASGoA]}FEoACkAAqCAkHCoA@[?Y?M???e@Ao@?MG{@UwBYsAWgAOm@Oq@_@gAEOEKg@eAoA_CaA_B_A_B??AAo@iAaBmCkAqB_AcB_A_Bs@kA]c@OO[SSOUMUKg@OQC_@Gm@Ce@@a@Fk@LmBh@IBsG`BWHSJk@P_@Nq@Xe@VGDy@d@C@??C@uC`B_Al@}Az@yAz@wChBaAh@uAp@u@^a@T[RUNg@V,Mattapan,0,DA291C
899_0005,sraaGrpvpLf@WTOZS`@Ut@_@tAq@`Ai@vCiBxA{@|A{@~@m@tCaB@A??DAx@e@FEd@Wp@Y^Oj@QRKVIrGaBHClBi@j@M`@Gd@Al@B^FPBf@NTJTLRNZRNN\b@r@jA~@~A~@bBjApB`BlCn@hABB??|@|A`A~AnA~Bf@dADJDN^fANp@Nl@VfAXrATvBFz@?L@n@?d@???L?XAZBnA@jH@pCBjADnA\|FFnA@RBR?F??Fv@NzCP|CL`BHp@Jx@VdB^zBPjAx@jFZvB^~Bf@bDZlB@H??Lr@lBbMTtAPjALhADz@@h@?r@Aj@Cr@MnAMz@M~@In@??G\_@~CEt@Cl@?v@BzABv@Dz@Dl@JVJRBHBVXdDBH,Mattapan,0,DA291C
8000013,{hpaGdxupLXVZTdElCt@p@tB~Bn@t@`@b@VPTXp@z@??T\z@dAZ^^b@VZh@b@n@\\BXNp@TfBv@RH`@PPFNPh@R`@T\LB@??tAZHJDJBLB^Y`LJbBRbCd@bDvArI??F^bJng@??Lr@^`CXbBzIfg@F`@@N?Rc@`JCl@Ez@??Cl@?jAPtRAPCPGVM^IN{AjBu@`AGPALAR?nC?D???BLpFDpGA`BWhFWxEKrBEj@??IjASfDU~Da@`H??G~@o@pKM~B??QtCk@tI]tFIfA?DE`@Gv@AZCV]xFMjC_@`G??]pFShD]lFK~BCn@IlASvC??AXa@vGYzEi@rI?X@NHPX`@??NVf@n@p@jAXh@d@~@b@dATn@Nl@Jd@PrADp@@d@?fAAj@MxBGxA?l@@h@Df@Fb@Nj@r@jB??DJ|@dC^~@r@pBbAhCtAzD^`A@@??\`ANl@Fj@Fh@@f@?^A`@Eb@Kn@On@y@fD????e@~BI`@C\A\?f@Dv@Hh@Jb@Td@PXHFTJVJ??x@Vf@LhCTb@Hp@RxAj@~Az@ZTPHl@ZtCdBz@l@tAx@D@??dAn@v@h@n@f@\\\`@^d@t@nAVj@Zx@\dAR~@Ln@Hl@Dp@??BZDh@D|A?|@ChBAj@BbBF~@Fn@P|@ZrA`@jAj@nABD??|@xAv@fAZ^`@^b@^b@Vn@^b@Rf@Tf@RXPl@f@DDLPRX????B@JVDRBTM`BEXMj@Mf@o@jBeArCe@jAa@lAWv@[vAYvA??EVSjAKv@WbCKzAInAE`BAdEK|K@pD@xAFlBJlBA|@AVC^??,Green-B,0,00843D
8000012,oplaGpwjqLJq@B_@@W@}@KmBGmBAyAAqDJ}K@eEDaBHoAJ{AVcCJw@RkABQ??Z}AZwAVw@`@mAd@kAdAsCn@kBLg@Lk@DYLaBCUESKWA???AASYMQEEm@g@YQg@Sg@Uc@So@_@c@Wc@_@a@_@[_@w@gAaA_BO[??[s@a@kA[sAQ}@Go@G_ACcB@k@BiB?}@E}AEi@C]??Eo@Im@Mo@S_A]eA[y@Wk@u@oA_@e@]a@]]o@g@w@i@eAm@??ECuAy@{@m@uCeBm@[QI[U_B{@yAk@q@Sc@IiCUg@Mu@W??[KUKIGQYUe@Kc@Ii@Ew@?g@@]B]Ha@d@_CBE??t@aDNo@Jo@Dc@@a@?_@Ag@Gi@Gk@Om@_@cAOa@??O_@uA{DcAiCs@qB_@_A}@eCGM??q@iBOk@Gc@Eg@Ai@?m@FyALyB@k@?gAAe@Eq@QsAKe@Om@Uo@c@eAe@_AYi@q@kAg@o@QY??W_@IQAO?Yh@sIX{E`@wGBg@??PiCHmABo@J_C\mFRiD^cG??\oFLkC\yFBW@[Fw@Da@?EHgA\uFj@uIRiD??JkBn@qKFkA??`@uGT_ERgDJyA??B]JsBVyEViF@aBEqGMqF?G???A?oC@S@MFQt@aAzAkBHOL_@FWBQ@QQuR?kABm@??D{@Bm@b@aJ?SAOGa@{Igg@YcB_@aCMs@??cJog@Ga@??wAqIe@cDScCKcBXaLC_@CMEKEE??CEyA]]Ma@Ui@SOQQGa@QSIgBw@q@UYO]Co@]i@c@W[_@c@[_@{@eAU]??q@{@UYWQa@c@o@u@uB_Cu@q@eEmC[Ua@],Green-B,0,00843D
8000014,oplaGpwjqLJq@B_@@W@}@KmBGmBAyAAqDJ}K@eEDaBHoAJ{AVcCJw@RkABQ??Z}AZwAVw@`@mAd@kAdAsCn@kBLg@Lk@DYLaBCUESKWA???AASYMQEEm@g@YQg@Sg@Uc@So@_@c@Wc@_@a@_@[_@w@gAaA_BO[??[s@a@kA[sAQ}@Go@G_ACcB@k@BiB?}@E}AEi@C]??Eo@Im@Mo@S_A]eA[y@Wk@u@oA_@e@]a@]]o@g@w@i@eAm@??ECuAy@{@m@uCeBm@[QI[U_B{@yAk@q@Sc@IiCUg@Mu@W??[KUKIGQYUe@Kc@Ii@Ew@?g@@]B]Ha@d@_CBE??t@aDNo@Jo@Dc@@a@?_@Ag@Gi@Gk@Om@_@cAOa@??O_@uA{DcAiCs@qB_@_A}@eCGM??q@iBOk@Gc@Eg@Ai@?m@FyALyB@k@?gAAe@Eq@QsAKe@Om@Uo@c@eAe@_AYi@q@kAg@o@QY??W_@IQAO?Yh@sIX{E`@wGBg@??PiCHmABo@J_C\mFRiD^cG??\oFLkC\yFBW@[Fw@Da@?EHgA\uFj@uIRiD??JkBn@qKFkA??`@uGT_ERgDJyA??B]JsBVyEViF@aBEqGMqF?G???A?oC@S@MFQt@aAzAkBHOL_@FWBQ@QQuR?kABm@??D{@Bm@b@aJ?SAOGa@{Igg@YcB_@aCMs@??cJog@Ga@??wAqIe@cDScCKcBXaLC_@CMEKEE??CEyA]]Ma@Ui@SOQQGa@QSIgBw@q@UYO]Co@]i@c@W[_@c@[_@{@eAU]??q@{@UYWQa@c@o@u@uB_Cu@q@eEmC[Ua@]??KIQQq@o@uE}DUOUAg@@aGRa@H[BSDKD??_@RMHi@b@MPyAbBmIjH??ONuCrCGPCN?RBh@BVJZbB~Ef@|ALl@D`@Bb@ANCN]~@_@`CKr@KbAUtASt@Sp@Un@Uh@Qd@e@jAELwAfDw@~B??ELo@zAeBlEkBnEqA~Cw@jBsBfFO^s@nBuAjBo@`@A@??]VWPONUZ[h@Qj@WjAUfAmEjLo@~As@v@y@v@YRe@Ra@FQD_A^YRW\]h@e@`A[z@IZO^MX_@f@{@~@cAdA_A~@wKdKs@z@aArAe@n@wBvB??_DzC{H|HsDfDiAz@iBnAkApAk@p@u@p@qAvAs@~@k@v@eApBcAvBo@dBaBzEw@|Be@rA??IT{@xBk@xAY|@k@vAaA~Ce@rAiCrHyAvDOd@a@`A[l@m@dAo@dA[h@KPs@~@m@l@{@|@s@t@UPq@f@q@`@ED??UL{@l@cAr@{@j@q@d@a@Vg@\e@Zg@\KFQNy@h@i@\a@XMJgBlAs@d@s@h@cAp@m@`@c@Zw@f@m@b@y@h@_@V_An@w@h@o@b@??IDe@Zk@b@o@b@cAn@_Aj@]VSLa@Xg@\c@Ze@Xg@\UNg@\g@^cAr@{@j@_@T{AfAOJsA|@iD`CqCjBkCdBm@`@OLMJSN,Green-B,0,00843D
8000019,awyaG|~`qLZSLKNMl@a@jCeBpCkBhDaCrA}@NKzAgA^Uz@k@bAs@f@_@f@]TOf@]d@Yb@[f@]`@YRM\W~@k@bAo@n@c@j@c@d@[JG??l@a@v@i@~@o@^Wx@i@l@c@v@g@b@[l@a@bAq@r@i@r@e@fBmALK`@Yh@]x@i@POJGf@]d@[f@]`@Wp@e@z@k@bAs@z@m@TM??DEp@a@p@g@TQr@u@z@}@l@m@r@_AJQZi@n@eAl@eAZm@`@aANe@xAwDhCsHd@sA`A_Dj@wAX}@j@yAz@yBDO??h@yAv@}B`B{En@eBbAwBdAqBj@w@r@_ApAwAt@q@j@q@jAqAhBoAhA{@rDgDzH}HzCyC??zByBd@o@`AsAr@{@vKeK~@_AbAeAz@_A^g@LYN_@H[Z{@d@aA\i@V]XS~@_@PE`@Gd@SXSx@w@r@w@n@_BlEkLTgAVkAPk@Zi@T[NOVQ\Y??@?n@a@tAkBr@oBN_@rBgFv@kBpA_DjBoEdBmEn@{A@C??z@iCvAgDDMd@kAPe@Ti@To@Rq@Ru@TuAJcAJs@^aC\_ABO@OCc@Ea@Mm@g@}AcB_FK[CWCi@?SBOFQtCsCNO??lIkHxAcBLQh@c@LIZQ??NGREZC`@I`GSf@AT@TNtE|Dp@n@PPRN??XVZTdElCt@p@tB~Bn@t@`@b@VPTXp@z@??T\z@dAZ^^b@VZh@b@n@\\BXNp@TfBv@RH`@PPFNPh@R`@T\LB@??tAZHJDJBLB^Y`LJbBRbCd@bDvArI??F^bJng@??Lr@^`CXbBzIfg@F`@@N?Rc@`JCl@Ez@??Cl@?jAPtRAPCPGVM^IN{AjBu@`AGPALAR?nC?D???BLpFDpGA`BWhFWxEKrBEj@??IjASfDU~Da@`H??G~@o@pKM~B??QtCk@tI]tFIfA?DE`@Gv@AZCV]xFMjC_@`G??]pFShD]lFK~BCn@IlASvC??AXa@vGYzEi@rI?X@NHPX`@??NVf@n@p@jAXh@d@~@b@dATn@Nl@Jd@PrADp@@d@?fAAj@MxBGxA?l@@h@Df@Fb@Nj@r@jB??DJ|@dC^~@r@pBbAhCtAzD^`A@@??\`ANl@Fj@Fh@@f@?^A`@Eb@Kn@On@y@fD????e@~BI`@C\A\?f@Dv@Hh@Jb@Td@PXHFTJVJ??x@Vf@LhCTb@Hp@RxAj@~Az@ZTPHl@ZtCdBz@l@tAx@D@??dAn@v@h@n@f@\\\`@^d@t@nAVj@Zx@\dAR~@Ln@Hl@Dp@??BZDh@D|A?|@ChBAj@BbBF~@Fn@P|@ZrA`@jAj@nABD??|@xAv@fAZ^`@^b@^b@Vn@^b@Rf@Tf@RXPl@f@DDLPRX????B@JVDRBTM`BEXMj@Mf@o@jBeArCe@jAa@lAWv@[vAYvA??EVSjAKv@WbCKzAInAE`BAdEK|K@pD@xAFlBJlBA|@AVC^??,Green-B,0,00843D
8000009,c_laGhn{qLJa@d@yAL[lAuCh@kAPe@z@{BxAsDvBqF~BcGr@iBv@kBJUJYFWp@cB??t@kBh@qAlA{Cb@eATk@To@lC{G~@{B`AiCd@eA~C_IbAmCzEqLr@uA~@cBjAkBhBqCfBsCHOHKr@iA????tAwBr@sAb@_A`@aAZ_Az@wB~@iCXu@p@kBj@yAjCkHpAgDvBaGx@wBfDcJ`AqCtBuFhCcHHQ??j@aBhAqCL]Vq@^iARy@TgAPiAJeABk@DwB?o@E{AG{@Iq@SmAYsAY{@Um@Yo@]q@e@o@a@i@aAeAMQQSCCOQ{AyAwBwBiEqEWSGE??IIo@q@cAcAaAaA{@eAs@_Aa@q@CEEGe@{@{@{BoBeFEIEIgBgEmCsGy@oBq@aBo@}Aa@eAWq@Qi@}@yB[s@[s@wCuHEMIQy@iBk@wAIUKYm@gBY}@??CIUw@o@eCQy@I[EQYqB[gCW}CMyCCcB?eA@oAF{CLgC^mDdAyIPuAd@cEb@kDXuCb@iDVeCFg@Da@hBgPV{Bl@mFt@kG\aD`@gD|@eIf@gERqBHaBBmA@_C?O?KA[??KaCAGUeCO}@UoAYkA_@wA[_A_AyB_@w@aB}CeC_FoHqNq@kAISGKw@aBqCmFu@}AgFaKwAkCi@aAg@eAa@_Ai@qA_@mAKg@G[Ms@??OeAMeAGu@Eu@E{@?o@G_AG_Ao@_HIw@OsAG_@K]Ms@Iq@Gs@CcAAuA?mBBkA@W?SDmAHy@??@CV}ADQf@uB\eAfAgCbEsItAiCf@iA~@oBbBqDf@sA\kANq@Lq@ZoBHeARaDBW@MNuDTaEPyEVyF??D{@B]LuB@U@Y?k@?o@EuAIiAK{@KcBEeAA{@CoBIuE?QGaFAw@Cc@Gm@OaAQaAKi@YaAKUEOIUk@cBu@_CWu@]}@??Wo@c@aAg@_A_@u@e@y@c@q@iAqAmAkAm@g@g@a@UOm@[MIKGiAi@mBaAkBw@_Ag@]OmCcAmA_@gAUmB[iA[e@Ow@USIMEa@Oo@[o@c@??KGm@i@m@m@s@y@g@q@a@m@c@u@wCqFuByDgAqBgCwE_@u@]w@OWEMOYEI??wAeD}@qB_BmDOUSKUGm@My@IQGIIMMgF{ZAS??COAiECuACkB?EQ}B?G???A?oC@S@MFQt@aAzAkBHOL_@FWBQ@QQuR?kABm@??D{@Bm@b@aJ?SAOGa@{Igg@YcB_@aCMs@??cJog@Ga@??wAqIe@cDScCKcBXaLC_@CMEKEE??CEyA]]Ma@Ui@SOQQGa@QSIgBw@q@UYO]Co@]i@c@W[_@c@[_@{@eAU]??q@{@UYWQa@c@o@u@uB_Cu@q@eEmC[Ua@]??KIQQq@o@uE}DUOUAg@@aGRa@H[BSDKD??_@RMHi@b@MPyAbBmIjH??ONuCrCGPCN?RBh@BVJZbB~Ef@|ALl@D`@Bb@ANCN]~@_@`CKr@KbAUtASt@Sp@Un@Uh@Qd@e@jAELwAfDw@~B??ELo@zAeBlEkBnEqA~Cw@jBsBfFO^s@nBuAjBo@`@A@??]VWPONUZ[h@Qj@WjAUfAmEjLCAGDKFIDMFKBOB[@_A@w@Fo@JSLIDGNMTK`@EXEXAZC`@Cz@i@fK{@lQ{AlUMtBKhA}@nHg@`C}AdFCF,Green-D,0,00843D
8000008,_xsaGpr|pLFM|AeFf@aC|@oHJiALuBzAmUz@mQFq@Fq@Dm@Hy@F{@Fm@F[FOJ[JQNSLOLMJI`@Gd@SXSx@w@r@w@n@_BlEkLTgAVkAPk@Zi@T[NOVQ\Y??@?n@a@tAkBr@oBN_@rBgFv@kBpA_DjBoEdBmEn@{A@C??z@iCvAgDDMd@kAPe@Ti@To@Rq@Ru@TuAJcAJs@^aC\_ABO@OCc@Ea@Mm@g@}AcB_FK[CWCi@?SBOFQtCsCNO??lIkHxAcBLQh@c@LIZQ??NGREZC`@I`GSf@AT@TNtE|Dp@n@PPRN??XVZTdElCt@p@tB~Bn@t@`@b@VPTXp@z@??T\z@dAZ^^b@VZh@b@n@\\BXNp@TfBv@RH`@PPFNPh@R`@T\LB@??tAZHJDJBLB^Y`LJbBRbCd@bDvArI??F^bJng@??Lr@^`CXbBzIfg@F`@@N?Rc@`JCl@Ez@??Cl@?jAPtRAPCPGVM^IN{AjBu@`AGPALAR?nC?D???BP|B?DBjBBtA@hEBN??@RfFzZLLHHPFx@Hl@LTFRJNT~AlD|@pBvAbD??DJNXDLNV\v@^t@fCvEfApBtBxDvCpFb@t@`@l@f@p@r@x@l@l@l@h@LF??l@b@n@Z`@NLDRHv@Td@NhAZlBZfATlA^lCbA\N~@f@jBv@lB`AhAh@JFLHl@ZTNf@`@l@f@lAjAhApAb@p@d@x@^t@f@~@b@`AVn@??\|@Vt@t@~Bj@bBHTDNJTX`AJh@P`AN`AFl@Bb@@v@F`F?PHtEBnB@z@DdAJbBJz@HhADtA?n@?j@AXATMtBC\Ez@??WxFQxEU`EOtDALCVS`DIdA[nBMp@Op@]jAg@rAcBpD_AnBg@hAuAhCcErIgAfC]dAg@tBEPW|AA@??Iz@ElA?RAVCjA?lB@tABbAFr@Hp@Lr@J\F^NrAHv@n@~GF~@F~@?n@Dz@Dt@Ft@LdANdA??Lr@FZJf@^lAh@pA`@~@f@dAh@`AvAjCfF`Kt@|ApClFv@`BFJHRp@jAnHpNdC~E`B|C^v@~@xBZ~@^vAXjATnAN|@TdC@FJdC??@V?J?NA~BClAI`BSpBg@fE}@dIa@fD]`Du@jGm@lFWzBiBfPE`@Gf@WdCc@hDYtCc@jDe@bEQtAeAxI_@lDMfCGzCAnA?dABbBLxCV|CZfCXpBDPHZPx@n@dCTv@BH??X|@l@fBJXHTj@vAx@hBHPDLvCtHZr@Zr@|@xBPh@Vp@`@dAn@|Ap@`Bx@nBlCrGfBfEDHDHnBdFz@zBd@z@DFBD`@p@r@~@z@dA`A`AbAbAn@p@FD??HHVRhEpEvBvBzAxANPBBPRLP`AdA`@h@d@n@\p@Xn@Tl@Xz@XrARlAHp@Fz@DzA?n@EvBCj@KdAQhAUfASx@_@hAWp@M\iApCk@~A??IRiCbHuBtFaApCgDbJy@vBwB`GqAfDkCjHk@xAq@jBYt@_AhC{@vB[~@a@`Ac@~@s@rAsAtB??A@s@hAIJINgBrCiBpCkAjB_AbBs@tA{EpLcAlC_D~He@dAaAhC_AzBmCzGUn@Uj@c@dAmAzCi@pAu@jB??q@bBGVKXKTw@jBs@hB_CbGwBpFyArD{@zBQd@i@jAmAtCMZe@xAK`@,Green-D,0,00843D
8000018,awyaG|~`qLZSLKNMl@a@jCeBpCkBhDaCrA}@NKzAgA^Uz@k@bAs@f@_@f@]TOf@]d@Yb@[f@]`@YRM\W~@k@bAo@n@c@j@c@d@[JG??l@a@v@i@~@o@^Wx@i@l@c@v@g@b@[l@a@bAq@r@i@r@e@fBmALK`@Yh@]x@i@POJGf@]d@[f@]`@Wp@e@z@k@bAs@z@m@TM??DEp@a@p@g@TQr@u@z@}@l@m@r@_AJQZi@n@eAl@eAZm@`@aANe@xAwDhCsHd@sA`A_Dj@wAX}@j@yAz@yBDO??h@yAv@}B`B{En@eBbAwBdAqBj@w@r@_ApAwAt@q@j@q@jAqAhBoAhA{@rDgDzH}HzCyC??zByBd@o@`AsAr@{@vKeK~@_AbAeAz@_A^g@LYN_@H[Z{@d@aA\i@V]XS~@_@PE`@Gd@SXSx@w@r@w@n@_BlEkLTgAVkAPk@Zi@T[NOVQ\Y??@?n@a@tAkBr@oBN_@rBgFv@kBpA_DjBoEdBmEn@{A@C??z@iCvAgDDMd@kAPe@Ti@To@Rq@Ru@TuAJcAJs@^aC\_ABO@OCc@Ea@Mm@g@}AcB_FK[CWCi@?SBOFQtCsCNO??lIkHxAcBLQh@c@LIZQ??NGREZC`@I`GSf@AT@TNtE|Dp@n@PPRN??XVZTdElCt@p@tB~Bn@t@`@b@VPTXp@z@??T\z@dAZ^^b@VZh@b@n@\\BXNp@TfBv@RH`@PPFNPh@R`@T\LB@??tAZHJDJBLB^Y`LJbBRbCd@bDvArI??F^bJng@??Lr@^`CXbBX`AHRPFlBg@NBhHhAv@Z^XV\xEzG^h@??RXxMfQ??l@v@`@f@~C|DfAzAVd@d@`ANd@Pl@\jAXbAr@xB??Ph@f@~AzAbFHVp@bCp@|B^nAT`AfAxDX`A~A`FXhA??d@dBbB~F|B|Hl@|Bj@dB??JZNh@\dAj@lBLj@l@lCRv@|AtFDNj@nBPh@DL??Rr@Nh@`@dAZr@??HPNX\|@Nh@Lp@Dd@?Z?pA@tCB~@?v@@v@?v@@l@D^??@L@FFXH`@Xt@N^L\n@nAZh@T`@P\PZPXDDD@ZGTI??tDcA~Bq@??VG`Bo@fAa@d@U^e@PYVa@HKJMFENCB@BB,Green-E,0,00843D
8000015,cgjaGbu_qLCCCAOBGDKLIJW`@QX_@d@e@TgA`@aBn@WF??_Cp@wDbA??SH[FEAEEQYQ[Q]Ua@[i@o@oAM]O_@Yu@Ia@GYAGCW??CUAm@?w@Aw@?w@C_AAuC?qA?[Ee@Mq@Oi@]}@OYKS??Yq@a@eAOi@Ss@??EMQi@k@oBEO}AuFSw@m@mCMk@k@mB]eAOi@IU??m@kBm@}B}B}HcB_Gg@iB??WeA_BaFYaAgAyDUaA_@oAq@}Bq@cCIW{AcFg@_BQi@??s@yBYcA]kAQm@Oe@e@aAWe@gA{A_D}Da@g@k@u@??{MiQSY??_@i@yE{GW]_@Yw@[iHiAOCmBf@QGISYaAYcB_@aCMs@??cJog@Ga@??wAqIe@cDScCKcBXaLC_@CMEKEE??CEyA]]Ma@Ui@SOQQGa@QSIgBw@q@UYO]Co@]i@c@W[_@c@[_@{@eAU]??q@{@UYWQa@c@o@u@uB_Cu@q@eEmC[Ua@]??KIQQq@o@uE}DUOUAg@@aGRa@H[BSDKD??_@RMHi@b@MPyAbBmIjH??ONuCrCGPCN?RBh@BVJZbB~Ef@|ALl@D`@Bb@ANCN]~@_@`CKr@KbAUtASt@Sp@Un@Uh@Qd@e@jAELwAfDw@~B??ELo@zAeBlEkBnEqA~Cw@jBsBfFO^s@nBuAjBo@`@A@??]VWPONUZ[h@Qj@WjAUfAmEjLo@~As@v@y@v@YRe@Ra@FQD_A^YRW\]h@e@`A[z@IZO^MX_@f@{@~@cAdA_A~@wKdKs@z@aArAe@n@wBvB??_DzC{H|HsDfDiAz@iBnAkApAk@p@u@p@qAvAs@~@k@v@eApBcAvBo@dBaBzEw@|Be@rA??IT{@xBk@xAY|@k@vAaA~Ce@rAiCrHyAvDOd@a@`A[l@m@dAo@dA[h@KPs@~@m@l@{@|@s@t@UPq@f@q@`@ED??UL{@l@cAr@{@j@q@d@a@Vg@\e@Zg@\KFQNy@h@i@\a@XMJgBlAs@d@s@h@cAp@m@`@c@Zw@f@m@b@y@h@_@V_An@w@h@o@b@??IDe@Zk@b@o@b@cAn@_Aj@]VSLa@Xg@\c@Ze@Xg@\UNg@\g@^cAr@{@j@_@T{AfAOJsA|@iD`CqCjBkCdBm@`@OLMJSN,Green-E,0,00843D
