stop_id,stop_name,latitude,longitude,platform_code,platform_name,municipality,wheelchair_accessible,parent_station,adress,description,zone,route_type
70234,Dean Road,42.337628,-71.142309,,Park Street & North,Brookline,2,place-denrd,"Beacon St and Dean Rd, Brookline, MA",Dean Road - Green Line - Park Street & North,RapidTransit,0
70129,Griggs Street,42.348919,-71.134305,,Boston College,Boston,2,place-grigg,"Commonwealth Ave and Griggs St, Boston, MA",Griggs Street - Green Line - (B) Boston College,RapidTransit,0
70130,Harvard Avenue,42.350263,-71.131298,,Park Street & North,Boston,1,place-harvd,"Commonwealth Ave and Harvard Ave, Boston, MA",Harvard Avenue - Green Line - Park Street & North,RapidTransit,0
70177,Beaconsfield,42.335912,-71.140903,,Riverside,Brookline,2,place-bcnfd,"124 Beaconsfield Rd, Brookline, MA 02445",Beaconsfield - Green Line - (D) Riverside,RapidTransit,0
70241,Symphony,42.342687,-71.085056,,Heath Street,Boston,2,place-symcl,"Massachusetts Ave and Huntington Ave, Boston, MA",Symphony - Green Line - (E) Heath Street,RapidTransit,0
70151,Kenmore,42.348949,-71.095169,,"Cleveland Circle, Riverside",Boston,1,place-kencl,"Commonwealth Ave and Kenmore St, Boston, MA 02215","Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",RapidTransit,0
70244,Northeastern University,42.340222,-71.0892,,Park Street & North,Boston,1,place-nuniv,"Huntington Ave and Opera Pl, Boston, MA 02115",Northeastern University - Green Line - Park Street & North,RapidTransit,0
70233,Dean Road,42.337807,-71.141753,,Cleveland Circle,Brookline,2,place-denrd,"Beacon St and Dean Rd, Brookline, MA",Dean Road - Green Line - (C) Cleveland Circle,RapidTransit,0
70168,Newton Highlands,42.322738,-71.205082,,Park Street & North,Newton,1,place-newtn,"60 Station Ave, Newton, MA 02461",Newton Highlands - Green Line - Park Street & North,RapidTransit,0
70246,Museum of Fine Arts,42.338017,-71.094682,,Park Street & North,Boston,1,place-mfa,"Huntington Ave and Ruggles St, Boston, MA",Museum of Fine Arts - Green Line - Park Street & North,RapidTransit,0
70249,Brigham Circle,42.334331,-71.104487,,Heath Street,Boston,1,place-brmnl,"Huntington Ave and Francis St, Boston, MA",Brigham Circle - Green Line - (E) Heath Street,RapidTransit,0
70204,Haymarket,42.363021,-71.05829,,Copley & West,Boston,1,place-haecl,"136 Blackstone St, Boston, MA 02109",Haymarket - Green Line - Copley & West,RapidTransit,0
70242,Symphony,42.342687,-71.085056,,Park Street & North,Boston,2,place-symcl,"Massachusetts Ave and Huntington Ave, Boston, MA",Symphony - Green Line - Park Street & North,RapidTransit,0
70180,Brookline Village,42.332614,-71.116751,,Park Street & North,Brookline,1,place-bvmnl,"31 Station St, Brookline, MA 02445",Brookline Village - Green Line - Park Street & North,RapidTransit,0
70510,Ball Square,42.400103,-71.111207,,Copley & West,Medford,1,place-balsq,"646 Boston Ave, Somerville, MA 02144",Ball Square - Green Line - Copley & West,RapidTransit,0
70187,Fenway,42.345029,-71.104968,,Riverside,Boston,1,place-fenwy,"411 Park Dr, Boston, MA 02215",Fenway - Green Line - (D) Riverside,RapidTransit,0
70226,Brandon Hall,42.340038,-71.12866,,Park Street & North,Brookline,2,place-bndhl,"1481 Beacon St, Brookline, MA",Brandon Hall - Green Line - Park Street & North,RapidTransit,0
70198,Park Street,42.356395,-71.062424,D,Riverside,Boston,1,place-pktrm,"Tremont St and Winter St, Boston, MA 02108",Park Street - Green Line - (D) Riverside,RapidTransit,0
70216,Kent Street,42.343927,-71.114569,,Park Street & North,Brookline,2,place-kntst,"Beacon St and Powell St, Brookline, MA",Kent Street - Green Line - Park Street & North,RapidTransit,0
70245,Museum of Fine Arts,42.337875,-71.09524,,Heath Street,Boston,1,place-mfa,"Huntington Ave and Ruggles St, Boston, MA",Museum of Fine Arts - Green Line - (E) Heath Street,RapidTransit,0
70250,Brigham Circle,42.334846,-71.103017,,Park Street & North,Boston,1,place-brmnl,"Huntington Ave and Francis St, Boston, MA",Brigham Circle - Green Line - Park Street & North,RapidTransit,0
71150,Kenmore,42.348949,-71.095169,,Park Street & North,Boston,1,place-kencl,"Commonwealth Ave and Kenmore St, Boston, MA 02215",Kenmore - Green Line - Park Street & North,RapidTransit,0
70266,Butler,42.272477,-71.062438,,Ashmont,Boston,1,place-butlr,"Butler St and Branchfield St, Dorchester, MA 02124",Butler - Mattapan Trolley - Ashmont,RapidTransit,0
70264,Cedar Grove,42.279693,-71.060381,,Ashmont,Boston,1,place-cedgr,"Fellsway St and Milton St, Dorchester, MA 02124",Cedar Grove - Mattapan Trolley - Ashmont,RapidTransit,0
70106,Boston College,42.340149,-71.167029,,Park Street & North,Boston,1,place-lake,"Commonwealth Ave and Lake St, Boston, MA 02135",Boston College - Green Line - Park Street & North,RapidTransit,0
70271,Valley Road,42.268389,-71.081504,,Mattapan,Milton,2,place-valrd,"291 Valley Rd, Milton, MA 02186",Valley Road - Mattapan Trolley - Mattapan,RapidTransit,0
70228,Fairbanks Street,42.339644,-71.131078,,Park Street & North,Brookline,2,place-fbkst,"Beacon St and Fairbanks Ave, Brookline, MA",Fairbanks Street - Green Line - Park Street & North,RapidTransit,0
70164,Waban,42.325695,-71.230476,,Park Street & North,Newton,2,place-waban,"Beacon St and Waban Sq, Newton, MA 02468",Waban - Green Line - Park Street & North,RapidTransit,0
70150,Kenmore,42.348949,-71.095169,,Park Street & North,Boston,1,place-kencl,"Commonwealth Ave and Kenmore St, Boston, MA 02215",Kenmore - Green Line - Park Street & North,RapidTransit,0
70182,Longwood,42.341808,-71.109777,,Park Street & North,Brookline,1,place-longw,"30 Chapel St, Brookline, MA 02446",Longwood - Green Line - Park Street & North,RapidTransit,0
