vehicle_id,vehicle_label,stop_status,stop_sequence,direction_id,latitude,longitude,bearing,speed,timestamp,trip_id,trip_short_name,bikes_allowed,headsign,stop,stop_name,route_id,parent_station
G-10097,3263,INCOMING_AT,8,0,42.26782,-71.09119,270,10.4,2023-04-27 15:27:23-04:00,55484026,,2.0,Mattapan,70275,Mattapan,Mattapan,place-matt
G-10068,3234,IN_TRANSIT_TO,7,1,42.27416,-71.05988,45,5.2,2023-04-27 15:27:29-04:00,55483982,,2.0,Ashmont,70264,Cedar Grove,Mattapan,place-cedgr
G-10025,3863-3698,INCOMING_AT,710,1,42.40684,-71.11609,331,6.0,2023-04-27 15:27:30-04:00,55714177,,2.0,Medford/Tufts,70511,Medford/Tufts,Green-E,place-mdftf
G-10112,3828-3709,INCOMING_AT,510,1,42.33754,-71.09596,45,1.7,2023-04-27 15:27:27-04:00,55714180,,2.0,Medford/Tufts,70246,Museum of Fine Arts,Green-E,place-mfa
G-10098,3660-3815,INCOMING_AT,170,1,42.34925,-71.10064,135,,2023-04-27 15:27:16-04:00,ADDED-1581508233,,0.0,Government Center,70148,Blandford Street,Green-B,place-bland
G-10077,3687-3866,INCOMING_AT,610,1,42.35614,-71.06243,30,,2023-04-27 15:26:43-04:00,55714448,,2.0,Government Center,70201,Government Center,Green-C,place-gover
G-10238,3888-3836,STOPPED_AT,660,1,42.37705,-71.09396,120,,2023-04-27 15:26:45-04:00,ADDED-1581508196,,0.0,Union Square,,,Green-D,
G-10235,3826-3611,IN_TRANSIT_TO,100,0,42.35305,-71.06457,200,,2023-04-27 15:27:18-04:00,ADDED-1581508232,,0.0,Heath Street,70157,Arlington,Green-E,place-armnl
G-10064,3621-3851,INCOMING_AT,570,1,42.34788,-71.08627,105,,2023-04-27 15:26:07-04:00,55713555,,2.0,Government Center,70154,Copley,Green-B,place-coecl
G-10225,3917-3916,STOPPED_AT,560,0,42.33289,-71.24327,315,5.5,2023-04-27 15:27:27-04:00,55713746,,2.0,Riverside,70163,Woodland,Green-D,place-woodl
G-10149,3912-3908,IN_TRANSIT_TO,520,0,42.32977,-71.18237,315,18.1,2023-04-27 15:27:33-04:00,55713754,,2.0,Riverside,70171,Newton Centre,Green-D,place-newto
G-10246,3861-3662,INCOMING_AT,90,0,42.35559,-71.06334,210,,2023-04-27 15:27:10-04:00,55714025,,2.0,Riverside,70159,Boylston,Green-D,place-boyls
G-10014,3859-3809,STOPPED_AT,40,0,42.35989,-71.05897,215,,2023-04-27 15:26:42-04:00,ADDED-1581508250,,0.0,Cleveland Circle,70202,Government Center,Green-C,place-gover
G-10199,3676-3844,INCOMING_AT,640,0,42.33414,-71.1049,225,4.6,2023-04-27 15:27:31-04:00,55714303,,2.0,Heath Street,70251,Fenwood Road,Green-E,place-fenwd
G-10216,3890-3671,IN_TRANSIT_TO,640,1,42.36607,-71.061,315,,2023-04-27 15:26:49-04:00,ADDED-1581508240,,0.0,Union Square,70207,Science Park/West End,Green-D,place-spmnl
G-10233,3922-3915,STOPPED_AT,30,1,42.34065,-71.15089,45,4.6,2023-04-27 15:27:32-04:00,55713586,,2.0,Government Center,70114,Chiswick Road,Green-B,place-chswk
G-10247,3677-3865,IN_TRANSIT_TO,470,0,42.33969,-71.11126,180,16.6,2023-04-27 15:27:30-04:00,55714023,,2.0,Riverside,70181,Brookline Village,Green-D,place-bvmnl
G-10115,3855-3644,INCOMING_AT,410,0,42.33933,-71.13545,225,8.8,2023-04-27 15:27:27-04:00,55714562,,2.0,Cleveland Circle,70231,Tappan Street,Green-C,place-tapst
G-10027,3852-3634,STOPPED_AT,1,1,42.34018,-71.16709,135,,2023-04-27 15:26:54-04:00,ADDED-1581508259,,,,70106,Boston College,Green-B,place-lake
G-10004,3853-3712,STOPPED_AT,190,1,42.33695,-71.14559,45,5.6,2023-04-27 15:27:18-04:00,55714451,,2.0,Government Center,70236,Englewood Avenue,Green-C,place-engav
G-10057,3713-3834,STOPPED_AT,710,1,42.40839,-71.1173,331,,2023-04-27 15:26:49-04:00,55714176,,2.0,Medford/Tufts,70511,Medford/Tufts,Green-E,place-mdftf
G-10111,3702-3883,STOPPED_AT,420,1,42.34174,-71.10985,45,5.2,2023-04-27 15:26:50-04:00,55713995,,2.0,Union Square,70182,Longwood,Green-D,place-longw
G-10063,3087,IN_TRANSIT_TO,3,0,42.27874,-71.05988,180,10.9,2023-04-27 15:27:28-04:00,55484027,,2.0,Mattapan,70265,Butler,Mattapan,place-butlr
G-10002,3691-3833,INCOMING_AT,220,0,42.35105,-71.12645,225,11.6,2023-04-27 15:27:32-04:00,55713655,,2.0,Boston College,70131,Harvard Avenue,Green-B,place-harvd
G-10089,3685-3872,STOPPED_AT,6,0,42.37116,-71.07613,125,7.1,2023-04-27 15:27:01-04:00,55714307,,2.0,Heath Street,70502,Lechmere,Green-E,place-lech
G-10213,3688-3856,STOPPED_AT,570,1,42.34977,-71.07825,60,,2023-04-27 15:26:56-04:00,ADDED-1581508223,,0.0,Union Square,70154,Copley,Green-D,place-coecl
G-10197,3805-3640,INCOMING_AT,470,1,42.33213,-71.11174,45,5.3,2023-04-27 15:27:24-04:00,55714183,,2.0,Medford/Tufts,70254,Mission Park,Green-E,place-mispk
